Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",
Happy Cow Dairy,"Agriculture, Farming",Seed,584000.0,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,949000.0,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,
PayMe India,"Financial Services, FinTech",Angel,2000000.0,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,0.0,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",
Tripshelf,"Internet, Leisure, Marketplace",Seed,233600.0,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,
Hyperdata.IO,Market Research,Angel,730000.0,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,
Freightwalla,"Information Services, Information Technology",Seed,0.0,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,
Microchip Payments,Mobile Payments,Seed,0.0,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,0.0,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,
Emojifi,Internet,Seed,0.0,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,0.0,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,
Freshboxx,Food Delivery,Seed,0.0,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",
Wide Mobility Mechatronics,Industrial Automation,Seed,0.0,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,
Pitstop,"Automotive, Search Engine, Service Industry",Seed,1460000.0,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,
Mihuru,"Finance, Internet, Travel",Seed,150000.0,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,0.0,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,7300.0,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,
PaisaDukan,Financial Services,Seed,650000.0,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,
Sleepy Owl Coffee,Food and Beverage,Seed,511000.0,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",
BlueJack,Autonomous Vehicles,Seed,934400.0,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,0.0,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,0.0,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,
Pando,"Logistics, Supply Chain Management",Seed,2000000.0,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,
Mintifi,"Financial Services, Lending",Seed,2000000.0,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,
Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000.0,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,
NicheAI,Artificial Intelligence,Angel,0.0,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,
Chariot Tech,"Internet of Things, Telecommunications",Seed,292000.0,"New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,
Loanzen,Financial Services,Seed,0.0,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,
Kriger Campus,Education,Seed,438000.0,"New Delhi, Delhi, India",A Education Start Up.,
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,
Kaleidofin,Financial Services,Seed,2800000.0,"Chennai, Tamil Nadu, India",A fintech platform.,
Chakr Innovation,Renewable Energy,Seed,0.0,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,
IndigoLearn,"E-Learning, Education",Seed,150000.0,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,584000.0,"India, Asia",UClean is a tech enabled laundry service provider.,
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000.0,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",
Pooltoo,Transportation,Seed,0.0,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,
Finzy,"Financial Services, Lending",Seed,1300000.0,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,0.0,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,
Tolet for Students,Hospitality,Seed,73000.0,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",
Chai Kings,"Food and Beverage, Tea",Seed,292000.0,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,584000.0,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,292000.0,"Bengaluru, Karnataka, India",Playtoome is a live entertainment destination,
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,182500.0,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,
Arogya MedTech,"Health Care, Medical",Seed,219000.0,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,
Propshop24,E-Commerce,Seed,500000.0,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,"New Delhi, Delhi, India",To bring health issues to people in their language.,
MissMalini Entertainment,—,Seed,1518400.0,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",
Rooter,Sports,Seed,657000.0,"India, Asia",Rooter is a mobile-based platform,
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,0.0,"Bengaluru, Karnataka, India",Advancing AI compute,
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000.0,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,
Sattviko,"Food Processing, Retail",Angel,0.0,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,
Sensibull,Trading Platform,Seed,365000.0,"Bangalore, Karnataka, India",Investment Management Platform,
